                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94398,                0.57285,                 1.0531,                0.94885,                0.87731,                0.94138,                0.71461,                0.84564,                0.45651,                0.94982,              0.0006932,              0.0006932,              0.0006932
                     36,                0.93997,                0.57378,                 1.0525,                 0.9524,                0.87024,                0.94252,                0.72341,                0.81807,                0.44671,                0.93831,              0.0006536,              0.0006536,              0.0006536
                     37,                0.93034,                0.56328,                 1.0434,                0.94755,                0.88081,                0.94203,                0.72544,                0.82072,                0.44358,                0.93252,               0.000614,               0.000614,               0.000614
                     38,                0.93147,                0.56219,                 1.0442,                0.94715,                0.88008,                0.94284,                0.72178,                0.81979,                0.45723,                0.93508,              0.0005744,              0.0005744,              0.0005744
                     39,                0.90295,                0.54961,                 1.0378,                0.95734,                0.88413,                0.94773,                0.73269,                0.80247,                0.42916,                0.93482,              0.0005348,              0.0005348,              0.0005348
                     40,                0.90083,                0.54001,                 1.0291,                0.95385,                0.89497,                0.95144,                0.74534,                0.77754,                0.41274,                0.91651,              0.0004952,              0.0004952,              0.0004952
                     41,                0.85279,                0.48037,                  1.005,                0.95533,                 0.8804,                0.94279,                0.72921,                0.80761,                0.43158,                0.92463,              0.0004556,              0.0004556,              0.0004556
                     42,                 0.8328,                0.45947,                0.99302,                0.95695,                0.89012,                 0.9467,                0.74179,                0.77032,                0.41028,                0.91161,               0.000416,               0.000416,               0.000416
                     43,                0.82131,                0.45317,                0.98988,                0.95914,                0.89303,                0.94977,                0.74719,                0.76444,                0.40514,                0.90885,              0.0003764,              0.0003764,              0.0003764
                     44,                0.81374,                0.44759,                0.98589,                0.96344,                 0.8993,                0.95428,                0.75547,                 0.7493,                0.39147,                0.90337,              0.0003368,              0.0003368,              0.0003368
                     45,                0.80006,                0.44069,                0.98395,                0.96216,                0.89868,                0.95329,                0.75394,                0.75267,                 0.3896,                0.90509,              0.0002972,              0.0002972,              0.0002972
                     46,                0.79006,                 0.4321,                0.97796,                0.96252,                0.90287,                0.95505,                0.76694,                0.71561,                0.38015,                0.88925,              0.0002576,              0.0002576,              0.0002576
                     47,                0.78067,                0.42333,                0.96828,                0.96736,                0.90324,                0.95632,                0.76916,                0.71497,                0.37609,                0.88646,               0.000218,               0.000218,               0.000218
                     48,                0.77431,                0.42071,                0.96817,                0.96596,                 0.9025,                0.95553,                 0.7702,                0.70706,                0.37429,                0.88375,              0.0001784,              0.0001784,              0.0001784
                     49,                0.75782,                0.41384,                0.96186,                0.96842,                0.90178,                0.95689,                 0.7738,                0.69927,                0.36633,                 0.8826,              0.0001388,              0.0001388,              0.0001388
                     50,                0.74903,                0.40604,                 0.9564,                0.96755,                0.90284,                0.95799,                0.77472,                0.69313,                0.36487,                0.87884,               9.92e-05,               9.92e-05,               9.92e-05
